CASE_ID,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_AGE,VICTIM_SEX,severity_1_4
5911574,1,2,45,M,1
5911574,2,2,38,F,3
5911574,2,2,42,F,1
5911574,3,2,18,F,1
5911576,1,1,51,M,4
5911576,1,2,16,M,1
5911576,2,2,38,F,1
5911576,3,1,43,M,1
5911579,1,2,21,M,4
5911579,2,2,19,M,2
5911579,3,1,22,M,2
5911598,1,2,18,F,4
5911598,1,1,30,M,1
5911598,2,2,17,F,3
5911598,2,2,90,F,2
5911598,3,1,19,F,3
5911598,3,2,24,M,2
5911598,4,2,60,F,1
5911609,1,1,56,M,4
5911610,1,1,23,M,2
5911610,1,1,55,M,4
5911621,1,4,47,M,4
5911623,1,3,65,M,4
5911653,1,3,41,M,4
5911656,1,1,65,M,4
5911661,1,2,10,M,4
5911661,2,2,8,F,2
5911661,3,1,33,F,2
5911661,4,2,34,M,3
5911716,1,3,52,F,4
5911745,1,1,59,M,4
5911745,1,2,45,M,1
5911769,1,3,19,F,4
5911769,1,2,14,F,1
5911770,1,2,22,F,4
5911770,2,1,24,M,2
5911771,1,1,26,M,4
5911771,1,2,46,M,1
5911772,1,1,72,F,4
5911772,1,1,33,M,2
5911772,2,2,2,F,1
5911772,3,2,14,F,1
5911772,4,2,31,F,1
5911773,1,1,25,M,4
5911774,1,2,57,M,4
5911774,2,2,41,M,2
5911774,3,1,25,M,1
5911775,1,1,61,M,4
5911775,1,1,24,M,1
5911775,1,1,20,F,2
5911775,1,1,19,F,2
5911775,2,2,21,M,1
5911784,1,1,36,M,1
5911784,1,1,26,M,4
5911784,2,2,19,M,4
5911864,1,3,53,M,4
5911867,1,1,40,M,4
5911867,2,2,41,F,3
5911869,1,1,57,M,4
5911874,1,1,47,F,4
5911877,1,4,17,M,4
5911877,1,4,17,F,2
5911878,1,3,69,F,4
5911938,1,1,59,F,4
5912019,1,1,23,M,2
5912019,1,1,44,M,4
5912019,2,2,16,M,2
5912019,3,2,17,M,1
5912023,1,3,26,M,4
5912023,1,1,41,M,3
5912023,2,2,53,F,1
5912034,1,1,21,M,4
5912035,1,3,50,M,4
5912043,1,3,27,M,4
5912043,1,1,32,M,2
5912073,1,1,51,F,4
5912104,1,1,33,M,4
5912155,1,2,22,M,1
5912155,1,1,52,M,4
5912155,2,1,22,M,1
5912155,3,2,19,M,1
5912156,1,1,57,M,4
5912156,1,2,33,M,1
5912156,2,2,27,M,1
5912192,1,1,84,M,4
5912192,1,1,44,M,1
5912192,2,2,23,M,1
5912199,1,2,16,F,4
5912199,2,1,17,F,3
5912199,3,2,17,F,3
5912199,4,2,15,F,2
5912204,1,1,22,M,4
5912206,1,1,22,F,4
5912207,1,3,42,M,4
5912208,1,1,52,F,4
5913052,1,1,21,M,3
5913056,1,1,21,F,1
5913056,1,1,46,M,2
5913056,2,2,7,M,1
5913060,1,1,22,M,3
5913076,1,2,14,M,1
5913080,1,2,7,F,1
5913080,1,2,88,F,1
5913100,1,1,32,F,2
5913100,1,2,8,F,1
5913163,1,1,58,F,1
5913179,1,2,19,F,1
5913203,1,1,27,M,3
5913203,2,2,28,F,3
5913247,1,1,49,M,1
5913247,1,1,36,M,1
5913247,2,2,56,F,1
5913251,1,1,53,M,1
5913251,2,2,47,F,1
5913263,1,2,4,M,1
5913263,2,2,4,M,1
5913263,3,2,3,F,1
5913263,4,2,4,M,1
5913267,1,4,61,M,1
5913389,1,1,54,M,1
5913389,1,1,29,F,1
5913389,2,2,4,F,2
5913389,3,2,1,F,1
5913393,1,1,21,F,1
5913430,1,2,4,F,1
5913430,1,1,68,M,1
5913434,1,2,47,F,1
5913862,1,2,49,F,1
5913862,2,2,57,M,1
5913862,3,2,2,M,1
5913862,4,2,53,M,1
5913862,5,2,19,M,1
5913862,6,2,62,M,1
5913862,7,2,55,F,1
5913862,8,2,62,M,1
5913862,9,2,19,F,1
5913862,10,2,50,F,1
5913878,1,1,40,M,1
5913882,1,2,80,M,2
5913882,1,2,40,F,1
5913882,2,1,74,F,1
5913882,2,2,36,M,1
5913890,1,1,41,M,2
5913890,2,2,45,F,1
5913902,1,1,25,M,1
5913902,1,1,62,M,1
5913910,1,1,63,F,1
5913910,1,2,50,F,2
5914020,1,1,43,M,1
5914020,2,2,37,F,1
5914254,1,2,6,M,1
5914329,1,1,29,F,1
5914490,1,2,20,F,1
5914805,1,2,22,F,1
5914805,1,1,34,F,1
5914805,2,2,6,F,1
5914805,3,2,24,M,1
5914805,4,2,13,M,1
5915672,1,1,51,F,1
5915682,1,1,70,F,1
5915682,1,1,20,F,3
5915999,1,1,30,M,1
5916244,1,1,74,F,1
5916244,1,1,23,M,1
5916571,1,2,16,F,1
5916571,2,1,39,F,1
5916575,1,1,18,M,2
